,title,tags,text_nohtml,Topic,Metadescription
122,🇲🇽 Mexico: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Mexico? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Mexico, or can I use my card everywhere?
Cash is widely used, but cards are also accepted. It is advisable to carry some cash with you at all times.


💰 What currency do they use here?
The currency here is Mexican peso. The symbol is $ or MXN.


🏧 Which ATM’s can I use for free?
The bunq community hasn't reported reported any free ATM's here yet. If you find one, help other bunqers by sharing it here!






💵 If I want cash, how much should I take out of an ATM?
2 000 MXN should be enough for a few days.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Most EU mobile plans will charge you for roaming.

Wifi is readily available, especially in coffee shops.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
It is common to leave a tip between 10-20%.
🍺 How much does a 0.5L beer cost?
€1,40
🍽 How much does an average meal cost?
€4,60
🚨 What’s the emergency number?
911


🔌 What type of plug do they use?
This one! It’s the standard American plug.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well here.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Try the traditional Elote, the Mexican name for corn on the cob. Spicy, for sure!
  
Travel Perks
🎢 Visit famous attractions with 10% off
We've partnered with Tiqets to bring you discounts on attraction tickets in Mexico 🇲🇽. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊


If you've been to Mexico 🇲🇽 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,the currency here is Mexican peso. The symbol is or MXN . which ATMs are free The bunq community hasnt reported any free ATMs here yet .
123,App Update 16.4,"['Features', ""What's New?""]","

⚡️What’s new in App Update 16.4

Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will continue to keep your life easy 🙌 

iOS

What’s new 🌈

We've made a couple of small improvements, so you can enjoy an even better experience with the bunq app! 🚀

What’s fixed 🔨

When adding someone to your Inner Circle, you’d see the option of adding an IBAN, even though this wouldn’t work. We fixed that. 

When selecting a sub-account, you’d see a “Share Account Details” button that would share both your BIC and IBAN, which is often unnecessary. Now, you can simply copy your IBAN and share it.

The bunq Deals screen wasn’t showing properly when Light Mode was on. Fixed it. 🔎

When checking an old payment that you’ve split with friends, you couldn’t see the share/split/request history. We've made more data available to you, so you can enjoy these insights from now on.

You couldn’t always select “All Accounts” to get Insights from. That’s fixed. 

If one of your cards is about to expire, we’ll let you know in the app which card needs a replacement, so you don’t have to research this yourself. We've updated this flow to better fit your needs. 💳

Android
What’s new 🌈

Failed payment? We’ve added a link that explains what to do. 

Checking out a Place friends visited? We’ll let you know if you haven’t been there so you never miss a hot spot! 🌴

What’s fixed🔨

When paying through QR from your app, you’d get an error instead of confirmation that payment is successful. Works now!

Expenses from old activities weren’t visible. Fixed! 💸

Switching to light mode could automatically log you out. All good!

For these and other improvements, update your app today! 🌈

Stay tuned for more updates in the coming weeks!


Want to learn more?
Explore more bunq knowledge here 🌈
",Cards,bunq has rolled out a new update to its app that includes small new improvements and features that will continue to keep your life easy .
124,🇰🇷 South Korea: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to South Korea? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in South Korea, or can I use my card everywhere?
You can use cards pretty much everywhere, but it´s a good idea to have some cash with you, just in case.


💰 What currency do they use here?
The currency here is South Korean won. The symbol is ₩ or KRW.


🏧 Which ATM’s can I use for free?
The bunq community has reported free withdrawals at these ATMs.


Shinhan 



💵 If I want cash, how much should I take out of an ATM?
50 000 KRW should be enough for a few days, since you can use your card for nearly everything.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Most EU mobile plans will charge you for roaming.

Wifi is readily available, especially in coffee shops.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
Tip is often included in the bill so it's not necessary to tip additonally. 
🍺 How much does a 0.5L beer cost?
€3,00
🍽 How much does an average meal cost?
€5,00
🚨 What’s the emergency number?
There are different numbers for the different services here. 

🚓 Police: 112
🚑 Ambulance: 119 or 911
🚒 Fire: 119 or 911


🔌 What type of plug do they use?
This one! It’s the standard European plug.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google Maps works well. It's also possible to download a local navigating app called 'KakaoMap', it also includes live timing for public transport.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
You don´t want to miss the Trick Eye Museum. Step into the paintings!
  
Travel Perks
🎢 Visit famous attractions with 10% off
We've partnered with Tiqets to bring you discounts on attraction tickets in South Korea 🇰🇷. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊

 Travel hands-free with a 20% discount on Stasher

Our partnership with Stasher will allow you to enjoy your destination to the fullest without having to worry about your luggage. You’ll be able to drop off your bags at trusted shops and hotels in South Korea with a 20% discount through this link 👌🏻.	


If you've been to South Korea 🇰🇷 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,bunq has compiled a list of useful tips for travellers to south korea .
125,bunq Update 16 Feedback,['Ask the Community'],"


Now that you've seen our latest update, we want to hear from you! What did you love? What are you excited to try? Share with us below!",Accounts,we want to hear from you . what did you love? what are you excited to try? share with us below.
126,🇲🇻 Maldives: bunq Community Travel Tips,['Community Travel Tips'],"👀 No tips here yet…

If you've been to Maldives 🇲🇻 share your experience! The following would be really useful for other bunqers to know:

Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.

Share your experience with us in the comments below! 🌈 👇",Local Ibans,no tips here yet if youve been to maldives share your experience . which ATMs are free to use What card should i use and where .
127,App Update 16.3,"['Updates', ""What's New?""]","

⚡️What’s new in App Update 16.3

Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will continue to keep your life easy 🙌 

iOS

What’s new 🌈

We’ve improved a couple of small things, so you can have a better experience using the bunq app!

What’s fixed 🔨

When sharing your bunq.me link, the preview would round up your payments, thus showing an incorrect amount. We’ve fixed that!

Want to easily share your referral link? Simply long press on it, and it’s copied. Want to customize it? Just tap on it.

When setting up your security the code for the first time, the reason given was to secure the account with your phone number. This wasn’t correct, so we fixed it.

Sometimes, the bunq Deals screen would show duplicate headers. All good now!

Android
What’s new 🌈

Made a payment? Click on the counterparty to pay/request money with one tap!

What’s fixed🔨

When transferring money between sub-accounts, the descriptions of payments were mixed up. It’s fixed!

Sometimes the biometric screen wouldn’t disappear after successfully logging in with your fingerprint. Fixed!

Barzahalen’s deposit fee wasn’t right. All good now!

Attaching a receipt to a payment could lead to an error. That’s fixed.

For these and other improvements, update your app today! 🌈

Stay tuned for more updates in the coming weeks!


Want to learn more?
Explore more bunq knowledge here 🌈
",NA,bunq has rolled out a new update to its app that includes small new improvements and features that will continue to keep your life easy .
128,🇦🇫 Afghanistan: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Afghanistan? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Afghanistan, or can I use my card everywhere?
It is recommended to carry sufficient cash, since access to ATMs is limited


💰 What currency do they use here?
The currency here is Afghan Afghani. The symbol is Af. or AFN.


🏧 Which ATM’s can I use for free?
The bunq community hasn't reported reported any free ATM's here yet. If you find one, help other bunqers by sharing it here!






💵 If I want cash, how much should I take out of an ATM?
AFN 15,000 should be enough for a few days.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Most EU mobile plans will charge you for roaming in Afghanistan.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
Tipping is not common and not expected, but it is very common to leave a donation when showed around or at free attractions.
🍺 How much does a 0.5L beer cost?
€4,00
🍽 How much does an average meal cost?
€2,00
🚨 What’s the emergency number?
There are different numbers for the different services here. 

🚓 Police: 119
🚑 Ambulance: 112
🚒 Fire: 119


🔌 What type of plug do they use?
This one! It’s the standard European plug.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well here.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Do not miss the mesmerizing Site of the Bamiyan Buddhas!
  

If you've been to Afghanistan 🇦🇫 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,"the currency here is Afghan Afghani. The symbol is Af. or AFN . tipping is not common and not expected, but its very common to leave a donation ."
129,App Update 16.2,"['Updates', ""What's New?""]","

⚡️What’s new in App Update 16.2

Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will continue to keep your life easy 🙌 

iOS

What’s new:

Favorite contacts are now called Pinned Contacts. You can add your loved ones as Friends and always have their accounts handy, or choose Saved Contacts for accounts you don’t use that often, but still want memorized by the app.

You can now hide your Cards, bunq.me or Total tiles from your Home screen.

After selecting a preferred sub-account, you now have the option to upload a file, like an invoice or a XML, and make a payment from it. Simply find this in your MENU.

We've added a pre-filled message when sharing your bunq.me request through your favorite apps.

We’ve improved all flows starting from your Home screen, for consistency and easier use.

What’s fixed:

Sometimes you couldn’t link a personal card to your Business account. That’s fixed now! 

When spreading the love and inviting your friends to bunq by email, you would send it without a subject line. Fixed that.

When checking your Savings Goal, the amount wouldn’t always show without checking Settings. It’s all good now!

Android

What’s new 🌈

New pre-filled message when sharing a bunq.me request with your favorite apps!

Favorite contacts are now called “Pinned Contacts”. You can add Friends as your closest contacts, or Saved Contacts for accounts you don’t use that often.

QR Loyalty Cards can now be used!

What’s fixed 🔨

Add payments to an open Activity only. Previously, the app showed your closed ones too.

Sometimes you couldn’t link a personal card to your Business account. Fixed!

For these and other improvements, update your app today! 🌈

Stay tuned for more updates in the coming weeks!


Want to learn more?
Explore more bunq knowledge here 🌈
",NA,"you can now hide your Cards, bunq.me or Total tiles from your Home screen ."
130,🇵🇰 Pakistan: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Pakistan? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Pakistan, or can I use my card everywhere?
Pakistan is a cash driven society. Be sure to withdraw enough cash ahead of time.


💰 What currency do they use here?
The currency here is Pakistani rupee. The symbol is ₨ or PKR.


🏧 Which ATM’s can I use for free?
The bunq community hasn't reported reported any free ATM's here yet. If you find one, help other bunqers by sharing it here!






💵 If I want cash, how much should I take out of an ATM?
35 000 PKR should be enough for a few days.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Most EU mobile plans will charge you for roaming.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
Service charges are generally added to the bill. If there's no service charge, you can add a tip of up to 10%.
🍺 How much does a 0.5L beer cost?
€1,70
🍽 How much does an average meal cost?
€1,00
🚨 What’s the emergency number?
There are different numbers for the different services here. 

🚓 Police: 15
🚑 Ambulance: 115 or 1122
🚒 Fire: 16


🔌 What type of plug do they use?
This one! It’s the standard British plug.



🚗 What side of the road do they drive on?
They drive on the left side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well .

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Try a Lassi, a traditional yogurt drink that can be sweet or salty. Up to you!
  

If you've been to Pakistan 🇵🇰 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,the currency here is the Pakistani rupee. the symbol is or PKR . which ATMs are free to use?
131,🇫🇷 France: bunq Community Travel Tips,"['Community Travel Tips', 'France']","
✈️ Heading to France? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in France, or can I use my card everywhere?
You can pay nearly everywhere by card in France. Mastercard generally has better acceptance than Maestro. 

It's worth having taking some cash for smaller businesses that may not accept card.

Sometimes small businesses only accept card for payments over €10.


💰 What currency do they use here?
The currency here is Euros! The symbol is € or EUR.


🏧 Which ATM’s can I use for free?
The bunq community has reported free withdrawals at these ATMs.


BNP Paribas


💵 If I want cash, how much should I take out of an ATM?
€30 should be enough for a few days, since you can use your card for nearly everything.






  
Staying connected
📱 Can I roam, or should I get a local SIM?
All EU mobile plans should let you roam for free.

If you don't have an EU plan, you can learn about your local SIM card options here.


  
Useful things to know
💁‍♀️ How does tipping work?
A service charge will be automatically added to your bill in France. This is included in the advertised price, and by law it must be passed on to the service staff.

If you would like to tip you can leave around €1 for every €20 spent. This is not expected, but is appreciated for good service.
🍺 How much does a 0.5L beer cost?
€6,00
🍽 How much does an average meal cost?
€13,00
🚨 What’s the emergency number?
112


🔌 What type of plug do they use?
France is slowly transitioning to the standard European plug.

This is the standard for the European plug.

They also still use the following two in older buildings.




🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well in France.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
French toll booths often require a credit card so make sure to bring a bunq Travel Card or Metal Card. They likely won't accept a Maestro.
Look for the toll booths that have the CB logo. These are the ones that you can pay with card.
If you're driving, you can calculate the tolls in advance here. Make sure you also have a yellow vest and at least 2 alcohol testers in the car, French law requires it!
  
Travel Perks
🎢 Visit famous attractions with 10% off
We've partnered with Tiqets to bring you discounts on attraction tickets in France 🇫🇷. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊

 Travel hands-free with a 20% discount on Stasher

Our partnership with Stasher will allow you to enjoy your destination to the fullest without having to worry about your luggage. You’ll be able to drop off your bags at trusted shops and hotels in France with a 20% discount through this link 👌🏻.	


If you've been to France 🇫🇷 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,french toll booths often require a credit card so make sure you bring a bunq Travel Card or Metal Card. they likely wont accept a Maestro .
132,App Update 16.1,"['Updates', ""What's New?""]","

⚡️What’s new in App Update 16.1

Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will continue to keep your life easy 🙌 

Apple Watch

What's new ⭐️ 

Enjoy having your Loyalty Cards in one place! Simply add them to your bunq app and they'll appear on your Apple Watch for full access anytime, anywhere ✨

iOS

What’s fixed 🔨

As a Travel Director of a company, you couldn’t always see the option to schedule payments through the app. We fixed this!

When switching your Payment Sorter from amounts to percentages, the app could have crashed. It works now!

Sometimes, you wouldn’t see a driving license as a valid ID for reactivating your bunq account. This is fixed (applies to certain countries).

The app showed you new features from bunq Update 16. Sometimes the notifications (red dots) wouldn’t disappear, even after you’ve discovered the new feature. We fixed it! 🙌

Android

What’s new 🌈

The Community tab got an update! Tap on the MENU to share something with the community or let the community help you!

Personalize the Home tab to fit your needs: hide tiles that you don’t want to see on the main screen.

What’s fixed 🔨 

You sometimes couldn’t read the balance on personalized sub-accounts. That’s fixed! 

When selecting allowed countries for your cards, you could encounter errors. Works now! 🎉


For these and other improvements, update your app today! 🌈

Stay tuned for more updates in the coming weeks!


Want to learn more?
Explore more bunq knowledge here 🌈
",NA,app update includes small improvements and features that will continue to keep your life easy .
133,bunq and Booking,"[""What's New?""]","

bunq and Booking

Hey bunqers! 🌈

Although we are in the middle of an unprecedented time, it helps to start thinking about the future and planning for brighter days ahead! With all that pent up excitement to start travelling when it’s safe again, we thought we’d share with you how bunq is preparing to help you satisfy that wanderlust and make life easy 🌈

We’ve been working on a special deal with Booking just for bunqers! 🎉 In anticipation of all the amazing journeys you'll go on, for every 100€ spent on booking.com with bunq Deals, we’ll plant a tree in your honor! Not only that, but you get 4% cashback on the transaction!  This means when it’s safe to explore new destinations,  you’ll be contributing to a greener and more sustainable future without having to think about it.  That’s a win for the environment, and a win for you! 🌳 

The best part is that you can use your bunq cards to enjoy this amazing deal! In addition to your Maestro cards, with the bunq Travel Card, we’ve made it easy for you to enjoy carefree worldwide traveling when the time is right! As a Mastercard, it is accepted by merchants who only accept credit cards. This means you can use it when traveling and also when making reservations for: long term or short term stays, car rentals and all other payments that require a deposit.

In order to take advantage of this amazing offer, please make sure to click on the booking.com link that can be found here.

Want to learn more about this offer and all the other amazing bunq Deals? Click here.

Ready to get started? Sign up for a bunq account today! 


Explore more bunq knowledge here ✨

Download the app today! 🌈

*Disclaimer: Please note that bunq does not encourage travelling during this time. Continue to exercise caution and stay safe! 

",NA,bunq and Booking have teamed up to help you travel when its safe again . for every 100 spent on booking.
134,🇨🇺 Cuba: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Cuba? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Cuba, or can I use my card everywhere?
Cuba is a cash based society. Be sure to withdraw enough cash ahead of time.


💰 What currency do they use here?
The currency here is Cuban peso and Cuban convertible peso. The symbols are $ (for both) and CUP (Cuban peso) and CUC (convertible peso).


🏧 Which ATM’s can I use for free?
The bunq community hasn't reported reported any free ATM's here yet. If you find one, help other bunqers by sharing it here!






💵 If I want cash, how much should I take out of an ATM?
220 CUP should be enough for a few days.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Most EU mobile plans will charge you for roaming.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
It is common to leave a 10-15% tip.
🍺 How much does a 0.5L beer cost?
€1,40
🍽 How much does an average meal cost?
€4,50
🚨 What’s the emergency number?
There are different numbers for the different services here. 

🚓 Police: 106
🚑 Ambulance: 104
🚒 Fire: 105


🔌 What type of plug do they use?
This one! It’s the standard American plug.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google Maps works well.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Rent a classic car and drive along the Malecón, Epic!
  

If you've been to Cuba 🇨🇺 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,Cuba is a cash based society. be sure to withdraw enough cash ahead of time .
135,🇷🇺 Russia: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Russia? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Russia, or can I use my card everywhere?
Cards are accepted in many places, but some museums and trains only take cash, so you want to carry some with you.


💰 What currency do they use here?
The currency here is Russian Ruble. The symbol is ₽, руб or RUB.


🏧 Which ATM’s can I use for free?
The bunq community has reported free withdrawals at these ATMs.


Erste Bank
BIN Bank
Tinkoff Bank
VTB Bank


💵 If I want cash, how much should I take out of an ATM?
3700 RUB should be enough for a few days.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Most EU mobile plans will charge you for roaming in Russia.

Wifi is readily available in Russia, especially in coffee shops.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
Tip in cash, and give it to the waiter. 

Normally, a 10% to 15% is expected.
🍺 How much does a 0.5L beer cost?
€1,40
🍽 How much does an average meal cost?
€7,00
🚨 What’s the emergency number?
112


🔌 What type of plug do they use?
This one! It’s the standard European plug.



🚗 What side of the road do they drive on?
They drive on the right side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well in Russia.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
If you are travelling by car, do not forget to buy petrol cans!
The further east you go, the more expensive the fuel will get.
  
Travel Perks
🎢 Visit famous attractions with 10% off
We've partnered with Tiqets to bring you discounts on attraction tickets in Russia 🇷🇺. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊

 Travel hands-free with a 20% discount on Stasher

Our partnership with Stasher will allow you to enjoy your destination to the fullest without having to worry about your luggage. You’ll be able to drop off your bags at trusted shops and hotels in Russia with a 20% discount through this link 👌🏻.	


If you've been to Russia 🇷🇺 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,"the currency here is Russian ruble. the symbol is , or RUB ."
136,🇸🇳 Senegal: bunq Community Travel Tips,['Community Travel Tips'],"👀 No tips here yet…

If you've been to Senegal 🇸🇳 share your experience! The following would be really useful for other bunqers to know:

Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.

Share your experience with us in the comments below! 🌈 👇",NA,the following would be really useful for other bunqers to know Which ATMs are free to use What card should I use and where .
137,🇹🇭 Thailand: bunq Community Travel Tips,['Community Travel Tips'],"
✈️ Heading to Thailand? We've gathered some tips from the bunq community to make sure your trip is the smoothest it can be. 😎 


Check them out below! 🌈 👇
  
Using your card
💳 Do I need cash in Thailand, or can I use my card everywhere?
Cards are widely accepted in hotels and restaurants. Most market stalls and small shops are cash only, so it's important to have cash on you.


💰 What currency do they use here?
The currency here is Thai baht. The symbol is ฿ or THB.


🏧 Which ATM’s can I use for free?
The bunq community hasn't reported reported any free ATM's here yet. If you find one, help other bunqers by sharing it here!






💵 If I want cash, how much should I take out of an ATM?
2 000 - 5 000 THB should be enough for a few days.


💳 Should I choose local currency or Euros when paying?
If you're asked to choose between local currency and Euros, always choose local currency.

That way bunq does the conversion for you, and you get to take advantage of the best rates with bunq ZeroFX.
  
Staying connected
📱 Can I roam, or should I get a local SIM?
Most EU mobile plans will charge you for roaming.

Wifi is readily available, especially in coffee shops.

If you want to get a local SIM card, you can learn about your options here.


  
Useful things to know
💁‍♀️ How does tipping work?
Tipping is not mandatory. but you can round up the bill if you recieved good service.
🍺 How much does a 0.5L beer cost?
€2,00
🍽 How much does an average meal cost?
€1,75
🚨 What’s the emergency number?
There are different numbers for the different services here. 

🚓 Police: 191 or 911
🚑 Ambulance: 1669
🚒 Fire: 199


🔌 What type of plug do they use?
This one! It’s the standard American plug.



🚗 What side of the road do they drive on?
They drive on the left side of the road here.
🗺 How do I navigate my way around?
Google and Apple Maps both work well here.

Otherwise, we recommend Rome2Rio as the best way to find out how to get anywhere. It even tells you the cost of each option. 🙌
👀 Any other good tips?
Enjoy the traditional Thai cuisine. Pad Thai, Som Tam, Panang... Delicious!
Be aware: Thai Law requires tourists to arrive with a minimum of 10,000 Baht per person or 20,000 Baht per family, in cash. While they don't always check, it's worth taking those funds to not be caught out.

  
Travel Perks
🎢 Visit famous attractions with 10% off
We've partnered with Tiqets to bring you discounts on attraction tickets in Thailand 🇹🇭. To get your discount, simply follow the link here and use our coupon code BUNQTIQETS10 at checkout. That's it! 🎊					

 Travel hands-free with a 20% discount on Stasher

Our partnership with Stasher will allow you to enjoy your destination to the fullest without having to worry about your luggage. You’ll be able to drop off your bags at trusted shops and hotels in Thailand with a 20% discount through this link 👌🏻.	


If you've been to Thailand 🇹🇭 share your experience! The following would be really useful for other bunqers to know:


Which ATMs are free to use? 
What card should I use and where?
Any other info you think may be useful.


Share your experience with us in the comments below! 🌈 👇
",NA,the currency here is Thai baht. The symbol is or THB . ATMs are widely accepted in hotels and restaurants .
138,3DS2 and Soft Declines,"['Knowledge', 'Frequently Asked Questions', 'Payments']","Online card payments are now more secure than ever! 

As of the 1st January 2021, new regulations have come into effect that aim to increase the safety and security of card payments all across Europe. These new regulations are part of Europe’s PSD2, which seeks to improve the security of payments, boost innovation and help banks across Europe with modernising and adapting to new services. As part of the process to continue to modernise and ensure the highest safety standards, 3DS2 was introduced. 



What is 3DS2?

3DS2 is a type of security feature known as Strong Customer Authentication (SCA) or two-step verification. This type of verification ensures that you, the card holder, are the one performing the payment and no one else 🥷 

We brought this security standard to our users in December 2020 and made sure that with bunq, it would be a quick and easy feature. With this new high-end security feature, users can authorise online card payments through a push notification from the bunq app. Once you’ve approved the purchase, you’re done! We’ve made it easier and faster than ever to approve your purchases 🙌



How do these rules impact me?
Luckily most of our users won’t notice the changes and can continue to do payments as usual ⭐️  In some rare cases, you might come across a failed card payment because the merchant doesn’t process the payment using the most recent and highest security standards. We believe in transparency, which is why we have implemented a text to notify you about online payments that failed because they didn’t meet that high security standard. 


As it’s required for us to decline these unsafe payments, you might encounter a failed payment for certain online transactions. We’re always looking for ways to improve your banking experience, but of course the safety of your money comes first 🔒  

If you encounter any problems, please reach out to our Support team.  


I have a failed payment, now what?

   Firstly, make sure that your payment was indeed denied due to 3DS2. To do so, go to your payment Event and check the reason for failure. It is right below the payment amount💲 

If you see Your payment was declined due to 3DS Secure Authentication failure then this is indeed a case of soft decline 👍 To adjust this in a few easy taps, simply enable Auto Accept and try again! The payment should be paid correctly this time 💪

Don’t know how to set up Auto Accept? Check out our tutorial here



Want to explore more bunq features or learn how to find your card details for online payments?

Take a look at the knowledge section of Together here.
",Cards,3DS2 is a type of security feature known as Strong Customer Authentication SCA or two-step verification .
